Roll_Number,Name,Math,Science,English,History,Geography,Total,Average,Grade
STU001,Alice Johnson,78.0,92.0,79.0,94,67,410.0,82.0,B
STU002,Bob Smith,91.0,56.0,58.0,67,46,318.0,63.6,C
STU003,Charlie Brown,68.0,83.0,61.0,96,48,356.0,71.2,C
STU004,Diana Prince,,93.0,80.0,73,47,293.0,73.25,C
STU005,Ethan Hunt,82.0,76.0,94.0,75,51,378.0,75.6,B
STU006,Fiona Green,47.0,94.0,84.0,74,73,372.0,74.4,C
STU007,George Wilson,60.0,49.0,48.0,94,72,323.0,64.6,C
STU008,Hannah Lee,78.0,,46.0,90,87,301.0,75.25,B
STU009,Ian Clark,97.0,96.0,50.0,78,94,415.0,83.0,B
STU010,Julia Roberts,58.0,81.0,98.0,64,62,363.0,72.6,C
STU011,Kevin Hart,62.0,96.0,86.0,94,63,401.0,80.2,B
STU012,Laura Palmer,50.0,85.0,48.0,50,76,309.0,61.8,C
STU013,Mike Davis,50.0,89.0,,74,74,287.0,71.75,C
STU014,Nancy Drew,63.0,98.0,73.0,56,83,373.0,74.6,C
STU015,Oscar Wilde,92.0,37.0,62.0,58,79,328.0,65.6,C
STU016,Paula Abdul,75.0,85.0,70.0,100,61,391.0,78.2,B
STU017,Quinn Fabray,79.0,41.0,88.0,50,66,324.0,64.8,C
STU018,Rachel Green,63.0,55.0,78.0,93,74,363.0,72.6,C
STU019,Steve Rogers,42.0,73.0,54.0,57,40,266.0,53.2,C
STU020,Tina Turner,61.0,52.0,80.0,73,74,340.0,68.0,C
STU021,Uma Thurman,92.0,38.0,58.0,60,0,248.0,49.6,F
STU022,Victor Hugo,41.0,94.0,75.0,66,86,362.0,72.4,C
STU023,Wendy Williams,63.0,48.0,92.0,57,53,313.0,62.6,C
STU024,Xavier Woods,83.0,43.0,59.0,84,42,311.0,62.2,C
STU025,Yara Shahidi,69.0,87.0,52.0,84,40,332.0,66.4,C
STU026,Zoe Saldana,77.0,36.0,58.0,82,44,297.0,59.4,C
STU027,Aaron Paul,41.0,94.0,67.0,54,65,321.0,64.2,C
STU028,Bella Swan,99.0,78.0,84.0,91,94,446.0,89.2,B
STU029,Carl Grimes,60.0,42.0,65.0,88,53,308.0,61.6,C
STU030,Damon Salvatore,72.0,81.0,60.0,90,78,381.0,76.2,B
