Roll_Number,Name,Math,Science,English,History,Geography
STU001,Alice Johnson,78.0,92.0,79.0,94,67
STU002,Bob Smith,91.0,56.0,58.0,67,46
STU003,Charlie Brown,68.0,83.0,61.0,96,48
STU004,Diana Prince,,93.0,80.0,73,47
STU005,Ethan Hunt,82.0,76.0,94.0,75,51
STU006,Fiona Green,47.0,94.0,84.0,74,73
STU007,George Wilson,60.0,49.0,48.0,94,72
STU008,Hannah Lee,78.0,,46.0,90,87
STU009,Ian Clark,97.0,96.0,50.0,78,94
STU010,Julia Roberts,58.0,81.0,98.0,64,62
STU011,Kevin Hart,62.0,96.0,86.0,94,63
STU012,Laura Palmer,50.0,85.0,48.0,50,76
STU013,Mike Davis,50.0,89.0,,74,74
STU014,Nancy Drew,63.0,98.0,73.0,56,83
STU015,Oscar Wilde,92.0,37.0,62.0,58,79
STU016,Paula Abdul,75.0,85.0,70.0,105,61
STU017,Quinn Fabray,79.0,41.0,88.0,50,66
STU018,Rachel Green,63.0,55.0,78.0,93,74
STU019,Steve Rogers,42.0,73.0,54.0,57,40
STU020,Tina Turner,61.0,52.0,80.0,73,74
STU021,Uma Thurman,92.0,38.0,58.0,60,-10
STU022,Victor Hugo,41.0,94.0,75.0,66,86
STU023,Wendy Williams,63.0,48.0,92.0,57,53
STU024,Xavier Woods,83.0,43.0,59.0,84,42
STU025,Yara Shahidi,69.0,87.0,52.0,84,40
STU026,Zoe Saldana,77.0,36.0,58.0,82,44
STU027,Aaron Paul,41.0,94.0,67.0,54,65
STU028,Bella Swan,99.0,78.0,84.0,91,94
STU029,Carl Grimes,60.0,42.0,65.0,88,53
STU030,Damon Salvatore,72.0,81.0,60.0,90,78
STU006,Fiona Green,47.0,94.0,84.0,74,73
STU011,Kevin Hart,62.0,96.0,86.0,94,63
